Date,Minutes Watched,Unique Viewers,Average Viewers,Follows,Chatters,Minutes Streamed,Live Views,Max Viewers,Hosts and Raids Viewers (%),Chat Messages,Clips Created,Clip Views
Sat Dec 31 2016,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 27 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 28 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 29 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 30 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 31 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 01 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 02 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 03 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Feb 04 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 05 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 06 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 07 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 08 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 09 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 10 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Feb 11 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 12 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 13 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 14 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 15 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 16 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 17 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Feb 18 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 19 2017,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 20 2017,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 21 2017,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 22 2017,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 23 2017,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 24 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sat Feb 25 2017,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 26 2017,0,0,0,0,0,0,0,0,0,0,0,0
