Date,Minutes Watched,Unique Viewers,Average Viewers,Follows,Chatters,Minutes Streamed,Live Views,Max Viewers,Hosts and Raids Viewers (%),Chat Messages,Clips Created,Clip Views
Tue Jan 24 2023,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 25 2023,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 26 2023,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 27 2023,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 28 2023,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 29 2023,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 30 2023,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 31 2023,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 01 2023,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 02 2023,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 03 2023,0,0,0,1,0,0,0,0,0,0,0,0
Sat Feb 04 2023,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 05 2023,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 06 2023,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 07 2023,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 08 2023,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 09 2023,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 10 2023,0,0,0,0,0,0,0,0,0,0,0,0
Sat Feb 11 2023,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 12 2023,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 13 2023,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 14 2023,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 15 2023,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 16 2023,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 17 2023,33,9,0.1,1,4,343,16,2,0,5,0,0
Sat Feb 18 2023,11,5,0.05,0,1,203,11,1,0,1,0,0
Sun Feb 19 2023,22,9,0.1,0,0,212,9,1,0,0,0,0
Mon Feb 20 2023,105,6,0.26,1,0,397,41,2,0,0,0,0
Tue Feb 21 2023,70,13,0.16,0,4,441,20,2,0,10,0,0
